Unnamed: 0,Density_@5mi,State/Province_Encoded,Price_Range_Encoded,Instagram_Followers,Facebook_Followers,Google_Review_Score,OpenTable_Review_Score,TripAdvisor_Review_Score,Facebook_Review_Score,DoorDash_Review_Score,Google_Total_Reviews,TripAdvisor_Total_Reviews,OpenTable_Total_Reviews,Facebook_Total_Reviews,DoorDash_Total_Reviews,Tech_Preferred_Google,Tech_Preferred_Facebook,Tech_Preferred_Toast,Tech_Preferred_Instagram,Tech_Preferred_DoorDash,Tech_Preferred_OpenTable,Tech_Preferred_Square,Tech_Preferred_Stripe,Tech_Preferred_SpotOn,Tech_Preferred_Aloha,Tech_Preferred_Heartland,Tech_Preferred_Clover,Tech_Preferred_Symphony,Tech_Preferred_Deliverect,Tech_Competitor_ezCater,Tech_Competitor_Chownow,Tech_Competitor_Spothopper,Tech_Competitor_Menufy,Tech_Competitor_Olo,Tech_Competitor_Bentobox,Tech_Competitor_MailChimp,Tech_Competitor_HungerRush,Tech_Competitor_Incentivio,Tech_Competitor_Owner,Tech_Competitor_Klaviyo,Tech_Competitor_Chowly,Tech_Overlapping_Uber_Eats,Tech_Overlapping_Grubhub,Tech_Overlapping_Seamless,Tech_Overlapping_Postmates,Tech_Overlapping_Caviar,Tech_Overlapping_Paytronix,Cusine_North_American,Cusine_European,Cusine_Latin_American,Cusine_Asian,Business_Type_Restaurant,Business_Type_Drinking_Place,Business_Type_Quick_Service,Business_Type_Cafe
7585,904,9,1,2934.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,306.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
7804,2448,4,2,0.0,4260.0,4.5,0.0,4.0,4.7,4.7,1622.0,44.0,0.0,116.0,6554.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
8350,312,29,2,19174.0,708.0,4.4,0.0,0.0,0.0,0.0,294.0,31.0,1.0,24.0,0.0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0
807,3230,10,2,0.0,9870.0,4.5,4.8,0.0,4.7,4.7,2910.0,517.0,3818.0,510.0,2819.0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1454,1224,44,1,2347.0,2200.0,3.7,0.0,2.0,0.0,3.7,901.0,2.0,0.0,0.0,68.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0
158,2863,44,3,0.0,0.0,4.4,4.5,0.0,0.0,0.0,644.0,6.0,337.0,0.0,0.0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8057,118,35,2,3626.0,206.0,4.4,0.0,0.0,0.0,4.5,53.0,0.0,0.0,0.0,238.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
3102,38,20,1,0.0,10000.0,4.4,0.0,0.0,0.0,0.0,1322.0,518.0,0.0,890.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1742,4701,21,1,3776.0,2200.0,4.4,4.7,4.0,0.0,0.0,618.0,371.0,3548.0,686.0,0.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
4138,51,23,0,0.0,7837.0,4.5,0.0,0.0,4.6,0.0,883.0,176.0,0.0,193.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
